time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	4.58351e-312	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.734613	0.628749	7.22131	2.64681e-017	2.20691e-017	radar	74.2445	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.939092	0.494992	7.19392	-0.127563	-0.00558051	lidar	0.222346	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	0.904156	0.515096	7.18682	-0.0644095	0.000674731	radar	0.57051	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	0.95553	0.612032	7.27873	0.135248	0.0304736	lidar	6.94202	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	0.925877	0.355374	7.04244	-0.332872	-0.220174	radar	4.11193	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.1975	0.778307	7.19934	0.583544	-0.0280212	lidar	30.7369	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	1.27188	0.322344	7.12812	-0.304632	-0.179179	radar	4.27272	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.26228	0.677956	7.22758	1.621	0.147288	lidar	22.2366	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.48282	0.569781	7.2455	1.10768	0.59595	radar	2.10604	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.82256	0.548861	7.30224	4.25726	0.583995	lidar	3.34906	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.13092	0.399826	7.30949	5.00039	0.677105	radar	1.82543	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.78991	0.420051	7.3794	2.71782	0.43371	lidar	2.17576	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.81254	76.3775	7.22525	2.19694	17.8752	radar	0.330726	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.03703	0.747159	7.40726	-0.178555	-1.44284	lidar	0.281802	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000
